comparison,run,arm,method,racemode,metric,point_estimate,boot_median,ci_lo,ci_hi,p_raw,p_bh,fdr_sig
point,baseline,baseline,baseline,none,auc_overall,0.946738,,0.913656,0.973889,,,
point,baseline,baseline,baseline,none,auc_race_White,0.954416,,,,,,
point,baseline,baseline,baseline,none,auc_race_Asian,0.907148,,,,,,
point,baseline,baseline,baseline,none,auc_race_Black,1.000000,,,,,,
point,baseline,baseline,baseline,none,auc_sex_Male,0.926829,,,,,,
point,baseline,baseline,baseline,none,auc_sex_Female,0.984029,,,,,,
point,baseline,baseline,baseline,none,auc_age_age<med,0.927340,,,,,,
point,baseline,baseline,baseline,none,auc_age_age>=med,0.953390,,,,,,
point,baseline,baseline,baseline,none,aucdelta_race,0.047268,,0.002506,0.137929,,,
point,baseline,baseline,baseline,none,aucdelta_sex,0.057200,,0.010152,0.106791,,,
point,baseline,baseline,baseline,none,aucdelta_age,0.026050,,0.001314,0.096089,,,
point,baseline,baseline,baseline,none,esauc_race,0.904008,,0.817443,0.950646,,,
point,baseline,baseline,baseline,none,esauc_sex,0.895515,,0.829002,0.953876,,,
point,baseline,baseline,baseline,none,esauc_age,0.922702,,0.849872,0.958951,,,
point,baseline,baseline,baseline,none,ecedelta_race,0.047611,,0.003344,0.123194,,,
point,baseline,baseline,baseline,none,ecedelta_sex,0.014604,,0.001118,0.078943,,,
point,baseline,baseline,baseline,none,ecedelta_age,0.034272,,0.001626,0.106735,,,
point,baseline,baseline,baseline,none,ece_race_White,0.062321,,,,,,
point,baseline,baseline,baseline,none,ece_race_Asian,0.109932,,,,,,
point,baseline,baseline,baseline,none,ece_race_Black,0.011160,,,,,,
point,baseline,baseline,baseline,none,ece_sex_Male,0.065796,,,,,,
point,baseline,baseline,baseline,none,ece_sex_Female,0.051192,,,,,,
point,baseline,baseline,baseline,none,ece_age_age<med,0.087330,,,,,,
point,baseline,baseline,baseline,none,ece_age_age>=med,0.053058,,,,,,
point,eval_fair-fino-none,pretraining,fino,none,auc_overall,0.934578,,0.900403,0.964358,,,
point,eval_fair-fino-none,pretraining,fino,none,auc_race_White,0.941239,,,,,,
point,eval_fair-fino-none,pretraining,fino,none,auc_race_Asian,0.899779,,,,,,
point,eval_fair-fino-none,pretraining,fino,none,auc_race_Black,1.000000,,,,,,
point,eval_fair-fino-none,pretraining,fino,none,auc_sex_Male,0.911257,,,,,,
point,eval_fair-fino-none,pretraining,fino,none,auc_sex_Female,0.979115,,,,,,
point,eval_fair-fino-none,pretraining,fino,none,auc_age_age<med,0.917488,,,,,,
point,eval_fair-fino-none,pretraining,fino,none,auc_age_age>=med,0.948767,,,,,,
point,eval_fair-fino-none,pretraining,fino,none,aucdelta_race,0.041460,,0.002829,0.130173,,,
point,eval_fair-fino-none,pretraining,fino,none,aucdelta_sex,0.067858,,0.015384,0.122626,,,
point,eval_fair-fino-none,pretraining,fino,none,aucdelta_age,0.031280,,0.001875,0.100612,,,
point,eval_fair-fino-none,pretraining,fino,none,esauc_race,0.897372,,0.810002,0.942995,,,
point,eval_fair-fino-none,pretraining,fino,none,esauc_sex,0.875189,,0.807786,0.936109,,,
point,eval_fair-fino-none,pretraining,fino,none,esauc_age,0.906231,,0.832043,0.951363,,,
point,eval_fair-fino-none,pretraining,fino,none,ecedelta_race,0.072308,,0.004595,0.153898,,,
point,eval_fair-fino-none,pretraining,fino,none,ecedelta_sex,0.049720,,0.002842,0.124695,,,
point,eval_fair-fino-none,pretraining,fino,none,ecedelta_age,0.025266,,0.001681,0.108137,,,
point,eval_fair-fino-none,pretraining,fino,none,ece_race_White,0.089592,,,,,,
point,eval_fair-fino-none,pretraining,fino,none,ece_race_Asian,0.161899,,,,,,
point,eval_fair-fino-none,pretraining,fino,none,ece_race_Black,0.000981,,,,,,
point,eval_fair-fino-none,pretraining,fino,none,ece_sex_Male,0.126235,,,,,,
point,eval_fair-fino-none,pretraining,fino,none,ece_sex_Female,0.076515,,,,,,
point,eval_fair-fino-none,pretraining,fino,none,ece_age_age<med,0.129411,,,,,,
point,eval_fair-fino-none,pretraining,fino,none,ece_age_age>=med,0.104146,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,auc_overall,0.951075,,0.922165,0.974396,,,
point,eval_fair-fino-weight,pretraining,fino,weight,auc_race_White,0.959046,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,auc_race_Asian,0.919676,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,auc_race_Black,1.000000,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,auc_sex_Male,0.931144,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,auc_sex_Female,0.986486,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,auc_age_age<med,0.932266,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,auc_age_age>=med,0.962250,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,aucdelta_race,0.039370,,0.001662,0.116637,,,
point,eval_fair-fino-weight,pretraining,fino,weight,aucdelta_sex,0.055342,,0.013774,0.103161,,,
point,eval_fair-fino-weight,pretraining,fino,weight,aucdelta_age,0.029984,,0.001443,0.089287,,,
point,eval_fair-fino-weight,pretraining,fino,weight,esauc_race,0.915049,,0.838722,0.955790,,,
point,eval_fair-fino-weight,pretraining,fino,weight,esauc_sex,0.901200,,0.839573,0.951578,,,
point,eval_fair-fino-weight,pretraining,fino,weight,esauc_age,0.923388,,0.855617,0.964448,,,
point,eval_fair-fino-weight,pretraining,fino,weight,ecedelta_race,0.056537,,0.003060,0.146097,,,
point,eval_fair-fino-weight,pretraining,fino,weight,ecedelta_sex,0.017383,,0.002031,0.098071,,,
point,eval_fair-fino-weight,pretraining,fino,weight,ecedelta_age,0.006841,,0.001557,0.093461,,,
point,eval_fair-fino-weight,pretraining,fino,weight,ece_race_White,0.064797,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,ece_race_Asian,0.121333,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,ece_race_Black,0.000296,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,ece_sex_Male,0.091307,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,ece_sex_Female,0.073924,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,ece_age_age<med,0.104319,,,,,,
point,eval_fair-fino-weight,pretraining,fino,weight,ece_age_age>=med,0.097478,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,auc_overall,0.947021,,0.917302,0.973134,,,
point,eval_fair-fino-resample,pretraining,fino,resample,auc_race_White,0.950855,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,auc_race_Asian,0.924097,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,auc_race_Black,1.000000,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,auc_sex_Male,0.931895,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,auc_sex_Female,0.970516,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,auc_age_age<med,0.935961,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,auc_age_age>=med,0.953775,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,aucdelta_race,0.026757,,0.001519,0.108468,,,
point,eval_fair-fino-resample,pretraining,fino,resample,aucdelta_sex,0.038621,,0.002283,0.091991,,,
point,eval_fair-fino-resample,pretraining,fino,resample,aucdelta_age,0.017814,,0.000915,0.082227,,,
point,eval_fair-fino-resample,pretraining,fino,resample,esauc_race,0.922342,,0.848002,0.954636,,,
point,eval_fair-fino-resample,pretraining,fino,resample,esauc_sex,0.911806,,0.847630,0.960756,,,
point,eval_fair-fino-resample,pretraining,fino,resample,esauc_age,0.930446,,0.856115,0.961442,,,
point,eval_fair-fino-resample,pretraining,fino,resample,ecedelta_race,0.031164,,0.002004,0.112800,,,
point,eval_fair-fino-resample,pretraining,fino,resample,ecedelta_sex,0.000994,,0.001294,0.091246,,,
point,eval_fair-fino-resample,pretraining,fino,resample,ecedelta_age,0.015261,,0.001047,0.089275,,,
point,eval_fair-fino-resample,pretraining,fino,resample,ece_race_White,0.077375,,,,,,
point,eval_fair-fino-resample,pretraining,fino,resample,ece_race_Asian,0.108540,,,,,,
